customer_id,customer_name,industry,city,customer_type,export_related
C001,Atlas Carpet Industries,Carpet Manufacturing,Kashan,large,True
C002,Pars Export Textiles,Export Trading,Tehran,large,True
C003,Negin Industrial Fabrics,Industrial Fabrics,Isfahan,large,False
C004,Shahin Yarn Manufacturing,Textile Manufacturing,Yazd,large,True
C005,Mehr Home Textiles,Home Textiles,Mashhad,medium,False
C006,Sepahan Polyester Co,Textile Manufacturing,Isfahan,medium,False
C007,Kavir Carpet Weaving,Carpet Manufacturing,Yazd,medium,True
C008,Tabriz Auto Textile,Automotive Textiles,Tabriz,medium,False
C009,Arman Export Group,Export Trading,Tehran,medium,True
C010,Shiraz Technical Fabrics,Industrial Fabrics,Shiraz,medium,False
C011,Qom Home Fabric,Home Textiles,Qom,medium,False
C012,Kashan Rug Materials,Carpet Manufacturing,Kashan,small,True
C013,Yazd Yarn Workshop,Textile Manufacturing,Yazd,small,False
C014,Rayan Textile Supplies,Export Trading,Tehran,small,True
C015,Mashhad Weaving House,Home Textiles,Mashhad,small,False
C016,Taban Industrial Cloth,Industrial Fabrics,Tabriz,small,False
C017,Nika Carpet Yarn,Carpet Manufacturing,Kashan,small,False
C018,Dena Export Fabrics,Export Trading,Shiraz,small,True
