note_id,note_date,customer_id,product_id,product_name,expected_quantity_kg,expected_period,intent_probability,risk_factors,signal_type,extraction_method,extraction_confidence,source_note_text
N0001,2023-01-09,C010,,,15000.0,next_week,0.5,,possible_order,rule_based,0.65,مشتری C010 گفت اگر موجودی فعلی تمام شود، هفته آینده درباره حدود ۱۵ تن دوباره تماس می‌گیرد.
N0002,2023-01-21,C012,P005,High Tenacity Polyester Yarn,,unknown,0.4,,possible_order,rule_based,0.65,مشتری C012 فقط برای مقایسه قیمت High Tenacity Polyester Yarn تماس گرفت و هنوز برنامه خرید مشخصی ندارد.
N0003,2023-01-27,C003,P005,High Tenacity Polyester Yarn,18000.0,next_week,0.7,,possible_order,rule_based,0.85,در پیگیری امروز، مشتری C003 برای حدود ۱۸ تن High Tenacity Polyester Yarn قیمت خواست و گفت تصمیم خرید را برای هفته آینده نهایی می‌کند.
N0004,2023-01-27,C007,P005,High Tenacity Polyester Yarn,15000.0,unknown,0.4,,possible_order,rule_based,0.85,مشتری C007 برای حدود ۱۵ تن High Tenacity Polyester Yarn سؤال کرد ولی هنوز سفارش قطعی نداده است.
N0005,2023-02-02,C005,P001,Polyester Yarn 150D,9000.0,unknown,0.7,PET price|seasonality,possible_order,rule_based,0.85,مشتری C005 گفت اگر قیمت PET بیشتر نشود، احتمالا آخر فصل حدود ۹۰۰۰ کیلو Polyester Yarn 150D سفارش می‌دهد.
N0006,2023-02-07,C004,P004,Carpet Polyester Yarn,,unknown,0.4,,possible_order,rule_based,0.65,مشتری C004 فقط برای مقایسه قیمت Carpet Polyester Yarn تماس گرفت و هنوز برنامه خرید مشخصی ندارد.
N0007,2023-02-09,C001,,,,unknown,0.2,currency|seasonality,delayed_or_cancelled,rule_based,0.45,مشتری C001 گفت به خاطر نوسان نرخ دلار فعلا تصمیم خرید را عقب انداخته اما برای آخر فصل نیاز احتمالی دارد.
N0008,2023-02-12,C006,P005,High Tenacity Polyester Yarn,8000.0,unknown,0.4,,possible_order,rule_based,0.85,مشتری C006 برای حدود ۸۰۰۰ کیلو High Tenacity Polyester Yarn سؤال کرد ولی هنوز سفارش قطعی نداده است.
N0009,2023-02-17,C005,P001,Polyester Yarn 150D,,unknown,0.4,,possible_order,rule_based,0.65,مشتری C005 فقط برای مقایسه قیمت Polyester Yarn 150D تماس گرفت و هنوز برنامه خرید مشخصی ندارد.
N0010,2023-02-17,C016,,,,unknown,0.4,,possible_order,rule_based,0.45,فروشنده با مشتری C016 تماس گرفت؛ مشتری فعلا موجودی کافی دارد اما قیمت‌ها را برای تصمیم بعدی دنبال می‌کند.
N0011,2023-03-15,C004,,,20000.0,in_2_weeks,0.7,export condition,possible_order,rule_based,0.65,مشتری C004 گفت اگر سفارش صادراتی خودش تایید شود، احتمالا دو هفته دیگر حدود ۲۰ تن نیاز دارد.
N0012,2023-03-18,C014,,,,unknown,0.4,supply delay,market_risk_signal,rule_based,0.45,مشتری C014 فقط زمان تحویل و قیمت را بررسی کرد؛ سیگنال ضعیف است و هنوز به سفارش رسمی نزدیک نیست.
N0013,2023-03-29,C002,,,,unknown,0.2,currency|seasonality,delayed_or_cancelled,rule_based,0.45,مشتری C002 گفت به خاطر نوسان نرخ دلار فعلا تصمیم خرید را عقب انداخته اما برای آخر فصل نیاز احتمالی دارد.
